Metric,Value
Total Leads (MQL),150
Initial Meeting Booked,69
Initial Meeting Held,51
S1 Opportunities,33
Total Pipeline ACV,"$487,500"
Avg ACV per S1 Account,"$14,773"
Meeting Booked Rate,46%
Meeting → S1 Conv. Rate,65%
,
By Channel,Count
Inbound,33
Intent Data,29
Outbound,17
Appexchange,15
Content Syndication,14
Partner,13
Webinar,8
Paid Social,7
Review Site,7
Paid Search,7
,
By Industry,Count
Technology,18
Financial Services,18
SaaS,17
Healthcare,10
Media,10
Legal,8
Consulting,8
Education,7
Insurance,7
Manufacturing,6
HR Tech,6
Retail,5
Construction,5
Logistics,5
Real Estate,5
Marketing Agency,5
Engineering,4
Energy,4
Professional Services,2
